pseudo_id,tempo,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,track_id
44,94.987,0.428,0.514,0.000152,0.944,3.35e-06,0.298,-5.621,0.0583,00BYAj1kUfp0qEJuwFxWgd
45,119.81,0.399,0.604,0.0846,0.472,9.48e-06,0.0778,-9.488,0.136,00BnfL75e8vHSGCmwUWbEk
46,172.028,0.698,0.445,0.045,0.876,0.00179,0.304,-4.342,0.0455,00CGMygJmpUJGUyRsYRUbe
47,108.012,0.242,0.755,0.0343,0.569,0.485,0.0973,-11.009,0.0425,00CQJXwhMPdoyXRlITsoBT
48,184.537,0.107,0.53,0.000965,0.77,0.0115,0.265,-5.882,0.0824,00Ci0EXS4fNPnkTbS6wkOh
49,95.057,0.931,0.731,0.498,0.609,0.882,0.1,-8.616,0.0342,00CjPU9Nv69kf6YofOIazK
50,116.006,0.477,0.575,0.04,0.985,0.0,0.161,-1.038,0.0743,00CqEmnPLFKDhAb3cuu6Cs
51,76.284,0.35,0.356,0.0226,0.753,3.99e-05,0.178,-5.061,0.0988,00CujlY4ya5p2FNDu9BCZP
52,132.303,0.143,0.481,0.75,0.266,0.0,0.118,-11.7,0.0305,00DBKn29OAvVfQjrEbtw1C
53,91.539,0.936,0.733,0.0987,0.86,0.0868,0.0867,-6.575,0.147,00DH09LjQrlTpWTzVwBU0Y
54,118.578,0.44,0.34,0.179,0.71,0.0,0.203,-9.843,0.0709,00DLDbWqrOhC6cEBr7zkjj
55,104.971,0.935,0.875,0.411,0.794,0.0,0.0704,-2.63,0.129,00Dy1ZWYXpJauvc0CPmHFr
56,94.036,0.578,0.676,0.0433,0.934,0.0,0.805,-7.675,0.306,00EE6U2juZMvGuMUCTHuas
57,169.84,0.3,0.537,0.791,0.671,8.04e-06,0.248,-9.74,0.57,00EfcDboIDLWzvPypeWGDg
58,74.873,0.131,0.565,0.0528,0.713,0.0,0.231,-4.893,0.0673,00EnN4XfNdQYzOh6oimHfc
59,128.097,0.877,0.708,0.0415,0.764,0.0,0.161,-5.073,0.12,00FACc7SXgRdodfCeBG8Su
60,87.956,0.346,0.659,0.00141,0.538,0.155,0.126,-10.094,0.235,00FF61Oc2RfR4HysYyvxt9
61,130.085,0.366,0.617,0.399,0.624,0.0,0.0743,-8.733,0.41,00FWuEBvnitgpbMSk0XIoN
